"","city","stateProvince","n","medianSalary","cityMeanClick","cityMeanLocalClick","localRatio","lng","lat","SalaryInfo","ClickInfo","LocalClickInfo"
"40","San Ramon","CA",214,64350,17.5759751021975,1.6020433511337,0.0911496142784929,-121.9366,37.7625,"Annual estimated Salary in  San Ramon : $ 64350","Daily estimated Click per job in  San Ramon :  17.5759751021975 clicks","Daily estimated Local Click ratio per job in  San Ramon : $ 0.0911496142784929"
"41","Manhattan","NY",283,64300,34.3108217845924,1.06367742551279,0.0310012226518704,-73.9662,40.7834,"Annual estimated Salary in  Manhattan : $ 64300","Daily estimated Click per job in  Manhattan :  34.3108217845924 clicks","Daily estimated Local Click ratio per job in  Manhattan : $ 0.0310012226518704"
"42","Dayton","OH",979,62900,19.2014864476521,4.78443289119536,0.249169922559844,-84.1999,39.7798,"Annual estimated Salary in  Dayton : $ 62900","Daily estimated Click per job in  Dayton :  19.2014864476521 clicks","Daily estimated Local Click ratio per job in  Dayton : $ 0.249169922559844"
"43","Aberdeen Proving Ground","MD",83,62700,15.9694606798901,1.40865492324026,0.0882092984526487,NA,NA,"Annual estimated Salary in  Aberdeen Proving Ground : $ 62700","Daily estimated Click per job in  Aberdeen Proving Ground :  15.9694606798901 clicks","Daily estimated Local Click ratio per job in  Aberdeen Proving Ground : $ 0.0882092984526487"
"44","Boston","MA",2260,62550,21.2737252774918,3.50615666630318,0.164811598371668,-71.0838,42.3189,"Annual estimated Salary in  Boston : $ 62550","Daily estimated Click per job in  Boston :  21.2737252774918 clicks","Daily estimated Local Click ratio per job in  Boston : $ 0.164811598371668"
"45","Auburn Hills","MI",288,62400,21.0629618390738,1.39730301405787,0.0663393412917711,-83.2447,42.6734,"Annual estimated Salary in  Auburn Hills : $ 62400","Daily estimated Click per job in  Auburn Hills :  21.0629618390738 clicks","Daily estimated Local Click ratio per job in  Auburn Hills : $ 0.0663393412917711"
"46","Dover","NH",130,62100,23.2147725015897,3.24086309450828,0.139603482837764,-70.8845,43.1887,"Annual estimated Salary in  Dover : $ 62100","Daily estimated Click per job in  Dover :  23.2147725015897 clicks","Daily estimated Local Click ratio per job in  Dover : $ 0.139603482837764"
"47","Aberdeen","MD",102,61950,19.950745977435,2.04262467682693,0.102383373490756,-76.1731,39.5146,"Annual estimated Salary in  Aberdeen : $ 61950","Daily estimated Click per job in  Aberdeen :  19.950745977435 clicks","Daily estimated Local Click ratio per job in  Aberdeen : $ 0.102383373490756"
"48","Emeryville","CA",101,61700,15.0868300240012,1.24437055041909,0.0824805839556395,-122.2932,37.8382,"Annual estimated Salary in  Emeryville : $ 61700","Daily estimated Click per job in  Emeryville :  15.0868300240012 clicks","Daily estimated Local Click ratio per job in  Emeryville : $ 0.0824805839556395"
"49","Waltham","MA",245,61300,18.398945684486,1.90370720865679,0.103468277003611,-71.2423,42.3889,"Annual estimated Salary in  Waltham : $ 61300","Daily estimated Click per job in  Waltham :  18.398945684486 clicks","Daily estimated Local Click ratio per job in  Waltham : $ 0.103468277003611"
"50","Hartford","CT",415,61000,24.9332375661707,3.02159389314882,0.121187386320359,-72.6834,41.7661,"Annual estimated Salary in  Hartford : $ 61000","Daily estimated Click per job in  Hartford :  24.9332375661707 clicks","Daily estimated Local Click ratio per job in  Hartford : $ 0.121187386320359"
"51","Pleasanton","CA",229,59900,23.8518108184477,1.81657853440232,0.0761610323102734,-121.8805,37.666,"Annual estimated Salary in  Pleasanton : $ 59900","Daily estimated Click per job in  Pleasanton :  23.8518108184477 clicks","Daily estimated Local Click ratio per job in  Pleasanton : $ 0.0761610323102734"
"52","Danville","PA",77,59800,15.7614362368451,1.82492694506702,0.115784305290716,-76.612,40.9615,"Annual estimated Salary in  Danville : $ 59800","Daily estimated Click per job in  Danville :  15.7614362368451 clicks","Daily estimated Local Click ratio per job in  Danville : $ 0.115784305290716"
"53","Lincolnshire","IL",57,59500,17.5481814447476,0.957025281621361,0.0545370062780956,-87.9179,42.1961,"Annual estimated Salary in  Lincolnshire : $ 59500","Daily estimated Click per job in  Lincolnshire :  17.5481814447476 clicks","Daily estimated Local Click ratio per job in  Lincolnshire : $ 0.0545370062780956"
"54","Seattle","WA",2435,58400,19.7728106501252,5.24387308068128,0.265206255876834,-122.3238,47.6217,"Annual estimated Salary in  Seattle : $ 58400","Daily estimated Click per job in  Seattle :  19.7728106501252 clicks","Daily estimated Local Click ratio per job in  Seattle : $ 0.265206255876834"
"55","Vienna","VA",140,58400,17.9166872025684,1.51055725613673,0.0843100758001842,-77.2597,38.8996,"Annual estimated Salary in  Vienna : $ 58400","Daily estimated Click per job in  Vienna :  17.9166872025684 clicks","Daily estimated Local Click ratio per job in  Vienna : $ 0.0843100758001842"
"56","Lebanon","NH",88,58350,13.6585239707957,1.62491389170356,0.118967019802279,-72.2531,43.6353,"Annual estimated Salary in  Lebanon : $ 58350","Daily estimated Click per job in  Lebanon :  13.6585239707957 clicks","Daily estimated Local Click ratio per job in  Lebanon : $ 0.118967019802279"
"57","Dearborn","MI",235,57000,24.0344390753499,2.0735270452082,0.0862731615540321,-83.213,42.3127,"Annual estimated Salary in  Dearborn : $ 57000","Daily estimated Click per job in  Dearborn :  24.0344390753499 clicks","Daily estimated Local Click ratio per job in  Dearborn : $ 0.0862731615540321"
"58","Chicago","IL",4410,56900,25.589855472532,10.2610803340033,0.400982348064353,-87.6861,41.8373,"Annual estimated Salary in  Chicago : $ 56900","Daily estimated Click per job in  Chicago :  25.589855472532 clicks","Daily estimated Local Click ratio per job in  Chicago : $ 0.400982348064353"
"59","Atlanta","GA",3503,56800,35.4363385068021,8.5095117740124,0.240135187002432,-84.4231,33.7627,"Annual estimated Salary in  Atlanta : $ 56800","Daily estimated Click per job in  Atlanta :  35.4363385068021 clicks","Daily estimated Local Click ratio per job in  Atlanta : $ 0.240135187002432"
"60","Windsor","CT",69,56600,19.7738720606881,1.48285987070144,0.0749908700810031,NA,NA,"Annual estimated Salary in  Windsor : $ 56600","Daily estimated Click per job in  Windsor :  19.7738720606881 clicks","Daily estimated Local Click ratio per job in  Windsor : $ 0.0749908700810031"
"61","Greenwood Village","CO",127,56500,21.5497274345711,1.09733472593251,0.0509210489675202,-104.913,39.6152,"Annual estimated Salary in  Greenwood Village : $ 56500","Daily estimated Click per job in  Greenwood Village :  21.5497274345711 clicks","Daily estimated Local Click ratio per job in  Greenwood Village : $ 0.0509210489675202"
"62","Richfield","MN",79,56200,19.2977967622807,0.988891165804793,0.051243734089773,-93.2826,44.8762,"Annual estimated Salary in  Richfield : $ 56200","Daily estimated Click per job in  Richfield :  19.2977967622807 clicks","Daily estimated Local Click ratio per job in  Richfield : $ 0.051243734089773"
"63","Livingston","NJ",72,56000,15.2274768507644,1.4145565338536,0.0928950047152816,NA,NA,"Annual estimated Salary in  Livingston : $ 56000","Daily estimated Click per job in  Livingston :  15.2274768507644 clicks","Daily estimated Local Click ratio per job in  Livingston : $ 0.0928950047152816"
"64","Greenbelt","MD",58,55500,21.2431326525796,1.74080471854129,0.0819467047074102,-76.8885,38.9953,"Annual estimated Salary in  Greenbelt : $ 55500","Daily estimated Click per job in  Greenbelt :  21.2431326525796 clicks","Daily estimated Local Click ratio per job in  Greenbelt : $ 0.0819467047074102"
"65","East Hartford","CT",62,55200,20.3633579438162,2.35394879678532,0.11559728033461,-72.6152,41.7634,"Annual estimated Salary in  East Hartford : $ 55200","Daily estimated Click per job in  East Hartford :  20.3633579438162 clicks","Daily estimated Local Click ratio per job in  East Hartford : $ 0.11559728033461"
"66","Andover","MA",112,55150,24.3743231835731,1.72814235795547,0.0709001166900151,-71.1418,42.6554,"Annual estimated Salary in  Andover : $ 55150","Daily estimated Click per job in  Andover :  24.3743231835731 clicks","Daily estimated Local Click ratio per job in  Andover : $ 0.0709001166900151"
"67","Piscataway","NJ",78,55050,25.6211092007941,1.90391122829096,0.0743102577398152,-74.399,40.4993,"Annual estimated Salary in  Piscataway : $ 55050","Daily estimated Click per job in  Piscataway :  25.6211092007941 clicks","Daily estimated Local Click ratio per job in  Piscataway : $ 0.0743102577398152"
"68","East Hanover","NJ",77,54400,20.1712823603454,1.31800887766427,0.0653408570718999,-74.3649,40.8201,"Annual estimated Salary in  East Hanover : $ 54400","Daily estimated Click per job in  East Hanover :  20.1712823603454 clicks","Daily estimated Local Click ratio per job in  East Hanover : $ 0.0653408570718999"
"69","Dulles","VA",81,54300,18.3198893683102,0.843161330002786,0.0460243679998029,NA,NA,"Annual estimated Salary in  Dulles : $ 54300","Daily estimated Click per job in  Dulles :  18.3198893683102 clicks","Daily estimated Local Click ratio per job in  Dulles : $ 0.0460243679998029"
"70","San Bruno","CA",88,54200,14.3878997411364,1.63816142813868,0.113856883743429,-122.4313,37.6254,"Annual estimated Salary in  San Bruno : $ 54200","Daily estimated Click per job in  San Bruno :  14.3878997411364 clicks","Daily estimated Local Click ratio per job in  San Bruno : $ 0.113856883743429"
"71","Bethesda","MD",358,54150,21.4516379524488,1.56180498874418,0.0728058618277162,-77.1188,38.9866,"Annual estimated Salary in  Bethesda : $ 54150","Daily estimated Click per job in  Bethesda :  21.4516379524488 clicks","Daily estimated Local Click ratio per job in  Bethesda : $ 0.0728058618277162"
"72","Irvine","CA",965,53800,21.4577743593273,2.76335811322165,0.128781208477033,-117.7738,33.6772,"Annual estimated Salary in  Irvine : $ 53800","Daily estimated Click per job in  Irvine :  21.4577743593273 clicks","Daily estimated Local Click ratio per job in  Irvine : $ 0.128781208477033"
"73","San Carlos","CA",58,53650,16.2137877556992,1.21040857564976,0.074653041836217,-122.268,37.4982,"Annual estimated Salary in  San Carlos : $ 53650","Daily estimated Click per job in  San Carlos :  16.2137877556992 clicks","Daily estimated Local Click ratio per job in  San Carlos : $ 0.074653041836217"
"74","Plano","TX",838,53550,27.3098685390758,2.9574371390959,0.108291884849768,-96.7487,33.0502,"Annual estimated Salary in  Plano : $ 53550","Daily estimated Click per job in  Plano :  27.3098685390758 clicks","Daily estimated Local Click ratio per job in  Plano : $ 0.108291884849768"
"75","Conshohocken","PA",58,53400,22.8646401457446,1.32525963519222,0.0579610974301235,-75.3035,40.0772,"Annual estimated Salary in  Conshohocken : $ 53400","Daily estimated Click per job in  Conshohocken :  22.8646401457446 clicks","Daily estimated Local Click ratio per job in  Conshohocken : $ 0.0579610974301235"
"76","La Jolla","CA",107,53100,17.7610152084477,1.50133652169229,0.0845298821082149,NA,NA,"Annual estimated Salary in  La Jolla : $ 53100","Daily estimated Click per job in  La Jolla :  17.7610152084477 clicks","Daily estimated Local Click ratio per job in  La Jolla : $ 0.0845298821082149"
"77","Florham Park","NJ",63,53000,25.3382051721816,1.34379479117552,0.0530343322285058,-74.3953,40.7772,"Annual estimated Salary in  Florham Park : $ 53000","Daily estimated Click per job in  Florham Park :  25.3382051721816 clicks","Daily estimated Local Click ratio per job in  Florham Park : $ 0.0530343322285058"
"78","Bellevue","WA",570,52950,16.9398868286414,2.00249787533171,0.118211998438263,-122.155,47.5953,"Annual estimated Salary in  Bellevue : $ 52950","Daily estimated Click per job in  Bellevue :  16.9398868286414 clicks","Daily estimated Local Click ratio per job in  Bellevue : $ 0.118211998438263"
"79","Morristown","NJ",149,52900,25.6429531009124,2.10859477748338,0.0822290150898553,-74.4772,40.7966,"Annual estimated Salary in  Morristown : $ 52900","Daily estimated Click per job in  Morristown :  25.6429531009124 clicks","Daily estimated Local Click ratio per job in  Morristown : $ 0.0822290150898553"
"80","Watertown","MA",82,52700,17.3327573089606,1.73743471398307,0.10023994930598,-71.1775,42.37,"Annual estimated Salary in  Watertown : $ 52700","Daily estimated Click per job in  Watertown :  17.3327573089606 clicks","Daily estimated Local Click ratio per job in  Watertown : $ 0.10023994930598"
"81","Falls Church","VA",224,52600,16.4112772710285,1.45861099656563,0.0888785785820937,-77.1751,38.8846,"Annual estimated Salary in  Falls Church : $ 52600","Daily estimated Click per job in  Falls Church :  16.4112772710285 clicks","Daily estimated Local Click ratio per job in  Falls Church : $ 0.0888785785820937"
"82","Rockville","MD",357,52600,24.1494003205589,2.22405680800418,0.0920957364771824,-77.1553,39.0834,"Annual estimated Salary in  Rockville : $ 52600","Daily estimated Click per job in  Rockville :  24.1494003205589 clicks","Daily estimated Local Click ratio per job in  Rockville : $ 0.0920957364771824"
"83","Tarrytown","NY",66,52500,19.4093848949312,1.15760609722994,0.0596415653301949,-73.8673,41.0647,"Annual estimated Salary in  Tarrytown : $ 52500","Daily estimated Click per job in  Tarrytown :  19.4093848949312 clicks","Daily estimated Local Click ratio per job in  Tarrytown : $ 0.0596415653301949"
"84","Huntsville","AL",504,52400,26.4353336547445,5.41194946573623,0.204724083925641,NA,NA,"Annual estimated Salary in  Huntsville : $ 52400","Daily estimated Click per job in  Huntsville :  26.4353336547445 clicks","Daily estimated Local Click ratio per job in  Huntsville : $ 0.204724083925641"
"85","Long Island","NY",126,52350,22.3597531923224,1.10135541702989,0.0492561526756055,NA,NA,"Annual estimated Salary in  Long Island : $ 52350","Daily estimated Click per job in  Long Island :  22.3597531923224 clicks","Daily estimated Local Click ratio per job in  Long Island : $ 0.0492561526756055"
"86","San Jose","CA",1581,51700,17.2591230276207,4.87722774391569,0.282588387376948,-121.8488,37.302,"Annual estimated Salary in  San Jose : $ 51700","Daily estimated Click per job in  San Jose :  17.2591230276207 clicks","Daily estimated Local Click ratio per job in  San Jose : $ 0.282588387376948"
"87","Stamford","CT",283,51700,23.3646845900721,3.63161586728335,0.15543183787837,-73.5583,41.1035,"Annual estimated Salary in  Stamford : $ 51700","Daily estimated Click per job in  Stamford :  23.3646845900721 clicks","Daily estimated Local Click ratio per job in  Stamford : $ 0.15543183787837"
"88","Alpharetta","GA",494,51550,25.9192380935225,2.77630234577907,0.107113578561281,-84.2739,34.0704,"Annual estimated Salary in  Alpharetta : $ 51550","Daily estimated Click per job in  Alpharetta :  25.9192380935225 clicks","Daily estimated Local Click ratio per job in  Alpharetta : $ 0.107113578561281"
"89","San Mateo","CA",272,51550,17.0271017688035,1.95941749673576,0.115076395463011,-122.3122,37.5522,"Annual estimated Salary in  San Mateo : $ 51550","Daily estimated Click per job in  San Mateo :  17.0271017688035 clicks","Daily estimated Local Click ratio per job in  San Mateo : $ 0.115076395463011"
"90","Wilmington","DE",404,51450,25.747482556761,4.47696938452225,0.173879888049352,-75.5286,39.7349,"Annual estimated Salary in  Wilmington : $ 51450","Daily estimated Click per job in  Wilmington :  25.747482556761 clicks","Daily estimated Local Click ratio per job in  Wilmington : $ 0.173879888049352"
"91","Burlington","MA",202,51400,17.5440651175008,1.30211209853673,0.0742195203800188,-71.2027,42.5022,"Annual estimated Salary in  Burlington : $ 51400","Daily estimated Click per job in  Burlington :  17.5440651175008 clicks","Daily estimated Local Click ratio per job in  Burlington : $ 0.0742195203800188"
"92","New Haven","CT",205,51400,28.2935502468002,4.90111451891824,0.173223737430142,-72.9245,41.3112,"Annual estimated Salary in  New Haven : $ 51400","Daily estimated Click per job in  New Haven :  28.2935502468002 clicks","Daily estimated Local Click ratio per job in  New Haven : $ 0.173223737430142"
"93","Rock Island","IL",59,51400,20.3702702305492,2.57149186957416,0.1262374941751,-90.5827,41.4699,"Annual estimated Salary in  Rock Island : $ 51400","Daily estimated Click per job in  Rock Island :  20.3702702305492 clicks","Daily estimated Local Click ratio per job in  Rock Island : $ 0.1262374941751"
"94","Morrisville","NC",127,51300,30.8870329408831,1.33104982362266,0.0430941303481708,-78.8349,35.8359,"Annual estimated Salary in  Morrisville : $ 51300","Daily estimated Click per job in  Morrisville :  30.8870329408831 clicks","Daily estimated Local Click ratio per job in  Morrisville : $ 0.0430941303481708"
"95","Princeton","NJ",265,51100,20.613583180269,1.39469748308838,0.0676591483824783,-74.6694,40.3563,"Annual estimated Salary in  Princeton : $ 51100","Daily estimated Click per job in  Princeton :  20.613583180269 clicks","Daily estimated Local Click ratio per job in  Princeton : $ 0.0676591483824783"
"96","Farmington Hills","MI",141,50800,19.8816747735857,1.03042444315606,0.0518278492577019,-83.3771,42.486,"Annual estimated Salary in  Farmington Hills : $ 50800","Daily estimated Click per job in  Farmington Hills :  19.8816747735857 clicks","Daily estimated Local Click ratio per job in  Farmington Hills : $ 0.0518278492577019"
"97","Somerset","NJ",130,50700,24.7923863669926,1.92128301449764,0.0774948803256611,-74.501,40.5082,"Annual estimated Salary in  Somerset : $ 50700","Daily estimated Click per job in  Somerset :  24.7923863669926 clicks","Daily estimated Local Click ratio per job in  Somerset : $ 0.0774948803256611"
