"","city","stateProvince","normTitleCategory","n","medianSalary","cityMeanClick","cityMeanLocalClick","localRatio","lng","lat","SalaryInfo","ClickInfo","LocalClickInfo"
"11","Atlanta","GA","meddr",45,155600,17.593246436186,3.08797755938275,0.175520622108228,-84.4231,33.7627,"Annual estimated Salary of  meddr  in  Atlanta : $ 155600","Daily estimated Click per job of  meddr  in  Atlanta :  17.593246436186 clicks","Daily estimated Local Click ratio per job in  Atlanta : $ 0.175520622108228"
"12","Boston","MA","meddr",31,153200,13.0446346212834,1.51083074337619,0.11582008904344,-71.0838,42.3189,"Annual estimated Salary of  meddr  in  Boston : $ 153200","Daily estimated Click per job of  meddr  in  Boston :  13.0446346212834 clicks","Daily estimated Local Click ratio per job in  Boston : $ 0.11582008904344"
"13","Chicago","IL","meddr",52,151650,13.6494447335659,4.81975237897366,0.353109776482058,-87.6861,41.8373,"Annual estimated Salary of  meddr  in  Chicago : $ 151650","Daily estimated Click per job of  meddr  in  Chicago :  13.6494447335659 clicks","Daily estimated Local Click ratio per job in  Chicago : $ 0.353109776482058"
"14","Tucson","AZ","meddr",23,149400,7.5679761945231,2.26529123778163,0.299325893680929,-110.8777,32.1558,"Annual estimated Salary of  meddr  in  Tucson : $ 149400","Daily estimated Click per job of  meddr  in  Tucson :  7.5679761945231 clicks","Daily estimated Local Click ratio per job in  Tucson : $ 0.299325893680929"
"15","Seattle","WA","meddr",32,146750,9.67416875589992,2.50694913121548,0.259138453594432,-122.3238,47.6217,"Annual estimated Salary of  meddr  in  Seattle : $ 146750","Daily estimated Click per job of  meddr  in  Seattle :  9.67416875589992 clicks","Daily estimated Local Click ratio per job in  Seattle : $ 0.259138453594432"
"16","Denver","CO","meddr",24,145950,10.3782791267601,3.26018004501241,0.314134935589287,-104.8759,39.7621,"Annual estimated Salary of  meddr  in  Denver : $ 145950","Daily estimated Click per job of  meddr  in  Denver :  10.3782791267601 clicks","Daily estimated Local Click ratio per job in  Denver : $ 0.314134935589287"
"17","Phoenix","AZ","meddr",36,145650,14.3368705154212,4.84215471034884,0.337741399361907,-112.0891,33.5722,"Annual estimated Salary of  meddr  in  Phoenix : $ 145650","Daily estimated Click per job of  meddr  in  Phoenix :  14.3368705154212 clicks","Daily estimated Local Click ratio per job in  Phoenix : $ 0.337741399361907"
"18","Miami","FL","meddr",27,145400,12.3455288687893,3.1193511869482,0.252670519027681,-80.2102,25.784,"Annual estimated Salary of  meddr  in  Miami : $ 145400","Daily estimated Click per job of  meddr  in  Miami :  12.3455288687893 clicks","Daily estimated Local Click ratio per job in  Miami : $ 0.252670519027681"
"19","Richmond","VA","meddr",26,139000,11.0566826288212,2.1928813621171,0.198330858878138,-77.4755,37.5294,"Annual estimated Salary of  meddr  in  Richmond : $ 139000","Daily estimated Click per job of  meddr  in  Richmond :  11.0566826288212 clicks","Daily estimated Local Click ratio per job in  Richmond : $ 0.198330858878138"
"20","Los Angeles","CA","meddr",53,134200,12.11397557124,3.59233903531737,0.29654501234475,-118.4068,34.114,"Annual estimated Salary of  meddr  in  Los Angeles : $ 134200","Daily estimated Click per job of  meddr  in  Los Angeles :  12.11397557124 clicks","Daily estimated Local Click ratio per job in  Los Angeles : $ 0.29654501234475"
"21","Pittsburgh","PA","meddr",35,133100,15.1134968623925,3.50706173303907,0.232048331697864,-79.9763,40.4396,"Annual estimated Salary of  meddr  in  Pittsburgh : $ 133100","Daily estimated Click per job of  meddr  in  Pittsburgh :  15.1134968623925 clicks","Daily estimated Local Click ratio per job in  Pittsburgh : $ 0.232048331697864"
"22","San Antonio","TX","meddr",44,130500,9.30507466192169,3.40802579849111,0.366254535542574,-98.5247,29.4722,"Annual estimated Salary of  meddr  in  San Antonio : $ 130500","Daily estimated Click per job of  meddr  in  San Antonio :  9.30507466192169 clicks","Daily estimated Local Click ratio per job in  San Antonio : $ 0.366254535542574"
"23","Raleigh","NC","meddr",23,128800,12.6166269374591,2.2726668851117,0.180132684938483,-78.6441,35.8323,"Annual estimated Salary of  meddr  in  Raleigh : $ 128800","Daily estimated Click per job of  meddr  in  Raleigh :  12.6166269374591 clicks","Daily estimated Local Click ratio per job in  Raleigh : $ 0.180132684938483"
"24","Baltimore","MD","meddr",39,128000,9.17702393632973,2.1437463640894,0.233599299616382,-76.6144,39.3051,"Annual estimated Salary of  meddr  in  Baltimore : $ 128000","Daily estimated Click per job of  meddr  in  Baltimore :  9.17702393632973 clicks","Daily estimated Local Click ratio per job in  Baltimore : $ 0.233599299616382"
"25","St. Louis","MO","meddr",23,127400,16.0541208223242,0.91210537942857,0.0568144085573489,NA,NA,"Annual estimated Salary of  meddr  in  St. Louis : $ 127400","Daily estimated Click per job of  meddr  in  St. Louis :  16.0541208223242 clicks","Daily estimated Local Click ratio per job in  St. Louis : $ 0.0568144085573489"
"26","Cincinnati","OH","meddr",21,122400,13.2585938943399,4.51157740063497,0.340275706201468,-84.506,39.1412,"Annual estimated Salary of  meddr  in  Cincinnati : $ 122400","Daily estimated Click per job of  meddr  in  Cincinnati :  13.2585938943399 clicks","Daily estimated Local Click ratio per job in  Cincinnati : $ 0.340275706201468"
"27","Dallas","TX","meddr",45,120600,12.2253575294113,3.15031608328297,0.257687030886749,-96.7659,32.7938,"Annual estimated Salary of  meddr  in  Dallas : $ 120600","Daily estimated Click per job of  meddr  in  Dallas :  12.2253575294113 clicks","Daily estimated Local Click ratio per job in  Dallas : $ 0.257687030886749"
"28","San Francisco Bay Area","CA","techsoftware",28,117650,16.7852135749673,0.984135655441074,0.0586311071375804,NA,NA,"Annual estimated Salary of  techsoftware  in  San Francisco Bay Area : $ 117650","Daily estimated Click per job of  techsoftware  in  San Francisco Bay Area :  16.7852135749673 clicks","Daily estimated Local Click ratio per job in  San Francisco Bay Area : $ 0.0586311071375804"
"29","San Ramon","CA","techsoftware",35,115500,24.5337311837508,1.6180353999256,0.0659514603713136,-121.9366,37.7625,"Annual estimated Salary of  techsoftware  in  San Ramon : $ 115500","Daily estimated Click per job of  techsoftware  in  San Ramon :  24.5337311837508 clicks","Daily estimated Local Click ratio per job in  San Ramon : $ 0.0659514603713136"
"30","San Francisco","CA","engid",27,113700,12.5793554872735,2.27801623652848,0.181091649634447,-122.4429,37.7561,"Annual estimated Salary of  engid  in  San Francisco : $ 113700","Daily estimated Click per job of  engid  in  San Francisco :  12.5793554872735 clicks","Daily estimated Local Click ratio per job in  San Francisco : $ 0.181091649634447"
"31","San Francisco","CA","techsoftware",417,111400,15.2971601177333,1.88191486577909,0.123023806464409,-122.4429,37.7561,"Annual estimated Salary of  techsoftware  in  San Francisco : $ 111400","Daily estimated Click per job of  techsoftware  in  San Francisco :  15.2971601177333 clicks","Daily estimated Local Click ratio per job in  San Francisco : $ 0.123023806464409"
"32","Fort Worth","TX","meddr",27,111100,12.2158508025861,2.38717321791693,0.195416042361254,-97.3466,32.7813,"Annual estimated Salary of  meddr  in  Fort Worth : $ 111100","Daily estimated Click per job of  meddr  in  Fort Worth :  12.2158508025861 clicks","Daily estimated Local Click ratio per job in  Fort Worth : $ 0.195416042361254"
"33","New York","NY","techsoftware",607,111000,16.2133633560176,2.09815656406856,0.129409087923131,-73.9249,40.6943,"Annual estimated Salary of  techsoftware  in  New York : $ 111000","Daily estimated Click per job of  techsoftware  in  New York :  16.2133633560176 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.129409087923131"
"34","Mountain View","CA","techsoftware",114,110850,15.7600995101612,1.2396663200282,0.078658533801067,-122.0796,37.4001,"Annual estimated Salary of  techsoftware  in  Mountain View : $ 110850","Daily estimated Click per job of  techsoftware  in  Mountain View :  15.7600995101612 clicks","Daily estimated Local Click ratio per job in  Mountain View : $ 0.078658533801067"
"35","Sacramento","CA","meddr",26,110850,11.2790952862197,3.59147634921652,0.318418832191658,-121.4683,38.5666,"Annual estimated Salary of  meddr  in  Sacramento : $ 110850","Daily estimated Click per job of  meddr  in  Sacramento :  11.2790952862197 clicks","Daily estimated Local Click ratio per job in  Sacramento : $ 0.318418832191658"
"36","Redwood City","CA","techsoftware",50,110000,13.3331143100073,1.18056323908727,0.0885436974166787,-122.2251,37.5026,"Annual estimated Salary of  techsoftware  in  Redwood City : $ 110000","Daily estimated Click per job of  techsoftware  in  Redwood City :  13.3331143100073 clicks","Daily estimated Local Click ratio per job in  Redwood City : $ 0.0885436974166787"
"37","Cambridge","MA","techsoftware",52,109450,13.5837554246628,1.2448180674515,0.0916402002638678,-71.1184,42.3758,"Annual estimated Salary of  techsoftware  in  Cambridge : $ 109450","Daily estimated Click per job of  techsoftware  in  Cambridge :  13.5837554246628 clicks","Daily estimated Local Click ratio per job in  Cambridge : $ 0.0916402002638678"
"38","Dayton","OH","techhelp",30,109400,14.8218119364296,2.69121817071817,0.181571469281944,-84.1999,39.7798,"Annual estimated Salary of  techhelp  in  Dayton : $ 109400","Daily estimated Click per job of  techhelp  in  Dayton :  14.8218119364296 clicks","Daily estimated Local Click ratio per job in  Dayton : $ 0.181571469281944"
"39","Seattle","WA","techsoftware",313,109300,14.48733233484,2.36628463104982,0.163334737987562,-122.3238,47.6217,"Annual estimated Salary of  techsoftware  in  Seattle : $ 109300","Daily estimated Click per job of  techsoftware  in  Seattle :  14.48733233484 clicks","Daily estimated Local Click ratio per job in  Seattle : $ 0.163334737987562"
"40","Palo Alto","CA","techsoftware",78,107050,15.7769166354458,0.816343178507677,0.051742884707498,-122.1465,37.3917,"Annual estimated Salary of  techsoftware  in  Palo Alto : $ 107050","Daily estimated Click per job of  techsoftware  in  Palo Alto :  15.7769166354458 clicks","Daily estimated Local Click ratio per job in  Palo Alto : $ 0.051742884707498"
"41","New York","NY","math",64,106750,23.2185529243546,4.47091440203073,0.192557840128834,-73.9249,40.6943,"Annual estimated Salary of  math  in  New York : $ 106750","Daily estimated Click per job of  math  in  New York :  23.2185529243546 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.192557840128834"
"42","Santa Clara Valley","CA","techsoftware",33,106700,10.5424883182702,0.658379338870068,0.0624500894849553,NA,NA,"Annual estimated Salary of  techsoftware  in  Santa Clara Valley : $ 106700","Daily estimated Click per job of  techsoftware  in  Santa Clara Valley :  10.5424883182702 clicks","Daily estimated Local Click ratio per job in  Santa Clara Valley : $ 0.0624500894849553"
"43","Santa Monica","CA","techsoftware",31,106600,18.3421982778033,1.3297163542804,0.0724949285871336,-118.4813,34.0232,"Annual estimated Salary of  techsoftware  in  Santa Monica : $ 106600","Daily estimated Click per job of  techsoftware  in  Santa Monica :  18.3421982778033 clicks","Daily estimated Local Click ratio per job in  Santa Monica : $ 0.0724949285871336"
"44","Boston","MA","techsoftware",215,105800,16.2688917789384,1.74246063518519,0.107103830971509,-71.0838,42.3189,"Annual estimated Salary of  techsoftware  in  Boston : $ 105800","Daily estimated Click per job of  techsoftware  in  Boston :  16.2688917789384 clicks","Daily estimated Local Click ratio per job in  Boston : $ 0.107103830971509"
"45","Columbus","OH","meddr",24,105150,15.3484618142715,4.42450529376763,0.288270274070954,-82.9852,39.9859,"Annual estimated Salary of  meddr  in  Columbus : $ 105150","Daily estimated Click per job of  meddr  in  Columbus :  15.3484618142715 clicks","Daily estimated Local Click ratio per job in  Columbus : $ 0.288270274070954"
"46","San Jose","CA","techsoftware",180,105050,14.308552866418,2.4973124883271,0.174532848404835,-121.8488,37.302,"Annual estimated Salary of  techsoftware  in  San Jose : $ 105050","Daily estimated Click per job of  techsoftware  in  San Jose :  14.308552866418 clicks","Daily estimated Local Click ratio per job in  San Jose : $ 0.174532848404835"
"47","Dayton","OH","engelectric",21,104600,21.1035631035631,2.09815184815185,0.099421687127213,-84.1999,39.7798,"Annual estimated Salary of  engelectric  in  Dayton : $ 104600","Daily estimated Click per job of  engelectric  in  Dayton :  21.1035631035631 clicks","Daily estimated Local Click ratio per job in  Dayton : $ 0.099421687127213"
"48","Mountain View","CA","management",25,104400,16.6663732027707,1.32218591140877,0.0793325515589054,-122.0796,37.4001,"Annual estimated Salary of  management  in  Mountain View : $ 104400","Daily estimated Click per job of  management  in  Mountain View :  16.6663732027707 clicks","Daily estimated Local Click ratio per job in  Mountain View : $ 0.0793325515589054"
"49","Herndon","VA","management",29,104300,18.4523597010787,1.95645728899496,0.106027484868539,-77.3867,38.9699,"Annual estimated Salary of  management  in  Herndon : $ 104300","Daily estimated Click per job of  management  in  Herndon :  18.4523597010787 clicks","Daily estimated Local Click ratio per job in  Herndon : $ 0.106027484868539"
"50","New York","NY","finance",99,104200,25.275448845566,4.37996768992488,0.173289412848281,-73.9249,40.6943,"Annual estimated Salary of  finance  in  New York : $ 104200","Daily estimated Click per job of  finance  in  New York :  25.275448845566 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.173289412848281"
"51","McLean","VA","techsoftware",78,104100,13.8390822137281,1.16842902939634,0.0844296616893629,-77.1943,38.9436,"Annual estimated Salary of  techsoftware  in  McLean : $ 104100","Daily estimated Click per job of  techsoftware  in  McLean :  13.8390822137281 clicks","Daily estimated Local Click ratio per job in  McLean : $ 0.0844296616893629"
"52","Philadelphia","PA","meddr",50,104000,12.4115132325074,2.73012781170116,0.219967360994354,-75.134,40.0076,"Annual estimated Salary of  meddr  in  Philadelphia : $ 104000","Daily estimated Click per job of  meddr  in  Philadelphia :  12.4115132325074 clicks","Daily estimated Local Click ratio per job in  Philadelphia : $ 0.219967360994354"
"53","El Segundo","CA","techsoftware",22,103900,14.7547825072314,0.818093452005186,0.0554459851647581,-118.4021,33.9169,"Annual estimated Salary of  techsoftware  in  El Segundo : $ 103900","Daily estimated Click per job of  techsoftware  in  El Segundo :  14.7547825072314 clicks","Daily estimated Local Click ratio per job in  El Segundo : $ 0.0554459851647581"
"54","Annapolis Junction","MD","techsoftware",47,102800,13.3755388889084,0.817371008838525,0.0611093889844189,NA,NA,"Annual estimated Salary of  techsoftware  in  Annapolis Junction : $ 102800","Daily estimated Click per job of  techsoftware  in  Annapolis Junction :  13.3755388889084 clicks","Daily estimated Local Click ratio per job in  Annapolis Junction : $ 0.0611093889844189"
"55","Waltham","MA","techsoftware",27,102400,17.4894644983688,2.23814548398289,0.127971069908494,-71.2423,42.3889,"Annual estimated Salary of  techsoftware  in  Waltham : $ 102400","Daily estimated Click per job of  techsoftware  in  Waltham :  17.4894644983688 clicks","Daily estimated Local Click ratio per job in  Waltham : $ 0.127971069908494"
"56","San Mateo","CA","techsoftware",22,102250,23.1764799287203,1.40578269424431,0.0606555740374646,-122.3122,37.5522,"Annual estimated Salary of  techsoftware  in  San Mateo : $ 102250","Daily estimated Click per job of  techsoftware  in  San Mateo :  23.1764799287203 clicks","Daily estimated Local Click ratio per job in  San Mateo : $ 0.0606555740374646"
"57","Portland","OR","meddr",27,102100,10.9749784719178,4.35539214180753,0.396847442840265,-122.65,45.5372,"Annual estimated Salary of  meddr  in  Portland : $ 102100","Daily estimated Click per job of  meddr  in  Portland :  10.9749784719178 clicks","Daily estimated Local Click ratio per job in  Portland : $ 0.396847442840265"
"58","Pleasanton","CA","techsoftware",42,102000,43.3254493347701,1.67608288242146,0.0386858741953393,-121.8805,37.666,"Annual estimated Salary of  techsoftware  in  Pleasanton : $ 102000","Daily estimated Click per job of  techsoftware  in  Pleasanton :  43.3254493347701 clicks","Daily estimated Local Click ratio per job in  Pleasanton : $ 0.0386858741953393"
"59","Chicago","IL","techsoftware",346,101800,17.279841926352,3.28991101376176,0.190390110498905,-87.6861,41.8373,"Annual estimated Salary of  techsoftware  in  Chicago : $ 101800","Daily estimated Click per job of  techsoftware  in  Chicago :  17.279841926352 clicks","Daily estimated Local Click ratio per job in  Chicago : $ 0.190390110498905"
"60","Dayton","OH","engid",87,101700,18.0238712918626,1.98022283519341,0.109866676427469,-84.1999,39.7798,"Annual estimated Salary of  engid  in  Dayton : $ 101700","Daily estimated Click per job of  engid  in  Dayton :  18.0238712918626 clicks","Daily estimated Local Click ratio per job in  Dayton : $ 0.109866676427469"
"61","Sunnyvale","CA","techsoftware",179,101700,13.6896023504486,1.34291620843676,0.0980975322773167,-122.0261,37.3846,"Annual estimated Salary of  techsoftware  in  Sunnyvale : $ 101700","Daily estimated Click per job of  techsoftware  in  Sunnyvale :  13.6896023504486 clicks","Daily estimated Local Click ratio per job in  Sunnyvale : $ 0.0980975322773167"
"62","Jersey City","NJ","techsoftware",110,101550,14.8420917371548,1.70467373854144,0.11485400903931,-74.0683,40.7161,"Annual estimated Salary of  techsoftware  in  Jersey City : $ 101550","Daily estimated Click per job of  techsoftware  in  Jersey City :  14.8420917371548 clicks","Daily estimated Local Click ratio per job in  Jersey City : $ 0.11485400903931"
"63","Austin","TX","meddr",21,101500,13.950388426412,4.5195447750247,0.323972683546783,-97.7545,30.3038,"Annual estimated Salary of  meddr  in  Austin : $ 101500","Daily estimated Click per job of  meddr  in  Austin :  13.950388426412 clicks","Daily estimated Local Click ratio per job in  Austin : $ 0.323972683546783"
"64","Remote","UNKNOWN","management",30,101300,66.7411973546,1.35848440375318,0.0203545105212224,NA,NA,"Annual estimated Salary of  management  in  Remote : $ 101300","Daily estimated Click per job of  management  in  Remote :  66.7411973546 clicks","Daily estimated Local Click ratio per job in  Remote : $ 0.0203545105212224"
"65","Santa Clara","CA","techsoftware",92,101250,13.992361498094,1.14492604898837,0.0818250764279019,-121.9679,37.3646,"Annual estimated Salary of  techsoftware  in  Santa Clara : $ 101250","Daily estimated Click per job of  techsoftware  in  Santa Clara :  13.992361498094 clicks","Daily estimated Local Click ratio per job in  Santa Clara : $ 0.0818250764279019"
"66","Seattle","WA","engid",26,101000,16.3830772045604,3.2503509076167,0.198396849812313,-122.3238,47.6217,"Annual estimated Salary of  engid  in  Seattle : $ 101000","Daily estimated Click per job of  engid  in  Seattle :  16.3830772045604 clicks","Daily estimated Local Click ratio per job in  Seattle : $ 0.198396849812313"
"67","Eden Prairie","MN","techsoftware",32,100700,14.0483882932607,1.73534528247333,0.123526289724339,-93.4595,44.8487,"Annual estimated Salary of  techsoftware  in  Eden Prairie : $ 100700","Daily estimated Click per job of  techsoftware  in  Eden Prairie :  14.0483882932607 clicks","Daily estimated Local Click ratio per job in  Eden Prairie : $ 0.123526289724339"
"68","Detroit","MI","meddr",21,100400,17.3259542266177,3.17050525522441,0.182991667515409,-83.1024,42.3834,"Annual estimated Salary of  meddr  in  Detroit : $ 100400","Daily estimated Click per job of  meddr  in  Detroit :  17.3259542266177 clicks","Daily estimated Local Click ratio per job in  Detroit : $ 0.182991667515409"
"69","San Jose","CA","engid",22,100400,12.6219000202609,3.30907453045184,0.262169287123178,-121.8488,37.302,"Annual estimated Salary of  engid  in  San Jose : $ 100400","Daily estimated Click per job of  engid  in  San Jose :  12.6219000202609 clicks","Daily estimated Local Click ratio per job in  San Jose : $ 0.262169287123178"
"70","Cambridge","MA","management",63,1e+05,14.3085084369912,1.33276665308268,0.0931450443595597,-71.1184,42.3758,"Annual estimated Salary of  management  in  Cambridge : $ 1e+05","Daily estimated Click per job of  management  in  Cambridge :  14.3085084369912 clicks","Daily estimated Local Click ratio per job in  Cambridge : $ 0.0931450443595597"
"71","Austin","TX","techsoftware",249,99900,20.2295144026667,4.78958475238086,0.236762220636867,-97.7545,30.3038,"Annual estimated Salary of  techsoftware  in  Austin : $ 99900","Daily estimated Click per job of  techsoftware  in  Austin :  20.2295144026667 clicks","Daily estimated Local Click ratio per job in  Austin : $ 0.236762220636867"
"72","Burlington","MA","techsoftware",25,99900,15.3331036594379,1.01931296381574,0.0664779281778563,-71.2027,42.5022,"Annual estimated Salary of  techsoftware  in  Burlington : $ 99900","Daily estimated Click per job of  techsoftware  in  Burlington :  15.3331036594379 clicks","Daily estimated Local Click ratio per job in  Burlington : $ 0.0664779281778563"
"73","Hartford","CT","management",31,99900,17.9233415324873,1.63663085805876,0.0913128199388633,-72.6834,41.7661,"Annual estimated Salary of  management  in  Hartford : $ 99900","Daily estimated Click per job of  management  in  Hartford :  17.9233415324873 clicks","Daily estimated Local Click ratio per job in  Hartford : $ 0.0913128199388633"
"74","New York","NY","engid",28,99900,18.4602088524047,2.32963868747096,0.12619785106968,-73.9249,40.6943,"Annual estimated Salary of  engid  in  New York : $ 99900","Daily estimated Click per job of  engid  in  New York :  18.4602088524047 clicks","Daily estimated Local Click ratio per job in  New York : $ 0.12619785106968"
"75","Bethesda","MD","techsoftware",28,99650,10.1904288815666,0.760220552436256,0.0746014285827964,-77.1188,38.9866,"Annual estimated Salary of  techsoftware  in  Bethesda : $ 99650","Daily estimated Click per job of  techsoftware  in  Bethesda :  10.1904288815666 clicks","Daily estimated Local Click ratio per job in  Bethesda : $ 0.0746014285827964"
"76","San Diego","CA","techsoftware",159,99600,16.4828827371711,4.46891200296306,0.271124418842408,-117.1225,32.8312,"Annual estimated Salary of  techsoftware  in  San Diego : $ 99600","Daily estimated Click per job of  techsoftware  in  San Diego :  16.4828827371711 clicks","Daily estimated Local Click ratio per job in  San Diego : $ 0.271124418842408"
"77","Manhattan","NY","techsoftware",30,99550,12.986789255936,0.857999804487157,0.0660671231031937,-73.9662,40.7834,"Annual estimated Salary of  techsoftware  in  Manhattan : $ 99550","Daily estimated Click per job of  techsoftware  in  Manhattan :  12.986789255936 clicks","Daily estimated Local Click ratio per job in  Manhattan : $ 0.0660671231031937"
"78","Arlington","VA","techsoftware",78,99350,14.6250575107214,1.43333299422367,0.0980052894269242,-77.1011,38.8786,"Annual estimated Salary of  techsoftware  in  Arlington : $ 99350","Daily estimated Click per job of  techsoftware  in  Arlington :  14.6250575107214 clicks","Daily estimated Local Click ratio per job in  Arlington : $ 0.0980052894269242"
"79","Alpharetta","GA","techsoftware",68,99050,18.1352439942991,2.42841311594412,0.133905731663026,-84.2739,34.0704,"Annual estimated Salary of  techsoftware  in  Alpharetta : $ 99050","Daily estimated Click per job of  techsoftware  in  Alpharetta :  18.1352439942991 clicks","Daily estimated Local Click ratio per job in  Alpharetta : $ 0.133905731663026"
"80","Dayton","OH","uncategorized",58,99000,15.8664019414509,2.73901471152545,0.172629857836249,-84.1999,39.7798,"Annual estimated Salary of  uncategorized  in  Dayton : $ 99000","Daily estimated Click per job of  uncategorized  in  Dayton :  15.8664019414509 clicks","Daily estimated Local Click ratio per job in  Dayton : $ 0.172629857836249"
"81","Jersey City","NJ","management",45,98900,17.0806170575942,2.19197659331794,0.128331229833607,-74.0683,40.7161,"Annual estimated Salary of  management  in  Jersey City : $ 98900","Daily estimated Click per job of  management  in  Jersey City :  17.0806170575942 clicks","Daily estimated Local Click ratio per job in  Jersey City : $ 0.128331229833607"
"82","Chantilly","VA","engid",30,98700,10.6518771165088,1.09100793437655,0.102424006815254,-77.4453,38.8868,"Annual estimated Salary of  engid  in  Chantilly : $ 98700","Daily estimated Click per job of  engid  in  Chantilly :  10.6518771165088 clicks","Daily estimated Local Click ratio per job in  Chantilly : $ 0.102424006815254"
"83","Los Angeles","CA","techsoftware",125,98600,18.6051186696983,3.2590353753743,0.175168749699093,-118.4068,34.114,"Annual estimated Salary of  techsoftware  in  Los Angeles : $ 98600","Daily estimated Click per job of  techsoftware  in  Los Angeles :  18.6051186696983 clicks","Daily estimated Local Click ratio per job in  Los Angeles : $ 0.175168749699093"
"84","Washington","DC","techsoftware",188,98550,18.9483883713629,1.76260325628006,0.0930212755689514,-77.0163,38.9047,"Annual estimated Salary of  techsoftware  in  Washington : $ 98550","Daily estimated Click per job of  techsoftware  in  Washington :  18.9483883713629 clicks","Daily estimated Local Click ratio per job in  Washington : $ 0.0930212755689514"
"85","Portland","OR","techsoftware",76,98100,17.8665520965079,3.82430328303987,0.214048198129249,-122.65,45.5372,"Annual estimated Salary of  techsoftware  in  Portland : $ 98100","Daily estimated Click per job of  techsoftware  in  Portland :  17.8665520965079 clicks","Daily estimated Local Click ratio per job in  Portland : $ 0.214048198129249"
"86","Roanoke","VA","techsoftware",23,98100,21.0643307589405,2.28766127863759,0.108603558537773,-79.9581,37.2784,"Annual estimated Salary of  techsoftware  in  Roanoke : $ 98100","Daily estimated Click per job of  techsoftware  in  Roanoke :  21.0643307589405 clicks","Daily estimated Local Click ratio per job in  Roanoke : $ 0.108603558537773"
"87","Remote","UNKNOWN","techsoftware",38,97950,53.7141486555029,1.50640680871677,0.0280448791691394,NA,NA,"Annual estimated Salary of  techsoftware  in  Remote : $ 97950","Daily estimated Click per job of  techsoftware  in  Remote :  53.7141486555029 clicks","Daily estimated Local Click ratio per job in  Remote : $ 0.0280448791691394"
